trial_id,plot_id,on_farm,is_survey,treatment,rep,crop,dmy_total,yield_part,yield,yield_moisture,grain_P,residue_P,harvest_index,dataset_id,record_id,country,location,longitude,latitude,geo_from_source,planting_date,N_fertilizer,P_fertilizer,K_fertilizer,irrigated,land_prep_method,depth,soil_P
3,101,TRUE,FALSE,UNL_P,1,maize,16254.404791322,grain,14079.0521852764,15.5,23,6,0.426766572191929,doi_10.5061_dryad.95n3j32,1,United States,Eastern Nebraska Research and Extension Center,-96.4973,41.14588,FALSE,2011-05-07,0,112,0,,disk tillage,5,3
3,101,TRUE,FALSE,UNL_P,1,maize,16254.404791322,grain,14079.0521852764,15.5,23,6,0.426766572191929,doi_10.5061_dryad.95n3j32,2,United States,Eastern Nebraska Research and Extension Center,-96.4973,41.14588,FALSE,2011-05-07,0,112,0,,disk tillage,10,3
3,101,TRUE,FALSE,UNL_P,1,maize,16254.404791322,grain,14079.0521852764,15.5,23,6,0.426766572191929,doi_10.5061_dryad.95n3j32,3,United States,Eastern Nebraska Research and Extension Center,-96.4973,41.14588,FALSE,2011-05-07,0,112,0,,disk tillage,15,3
3,101,TRUE,FALSE,UNL_P,1,maize,16254.404791322,grain,14079.0521852764,15.5,23,6,0.426766572191929,doi_10.5061_dryad.95n3j32,4,United States,Eastern Nebraska Research and Extension Center,-96.4973,41.14588,FALSE,2011-05-07,0,112,0,,disk tillage,20,3
3,102,TRUE,FALSE,Control 0_P,1,maize,13166.0429758944,grain,13725.5031935273,15.5,23,7,0.44252329519778,doi_10.5061_dryad.95n3j32,5,United States,Eastern Nebraska Research and Extension Center,-96.4973,41.14588,FALSE,2011-05-07,0,0,0,,disk tillage,5,3
3,102,TRUE,FALSE,Control 0_P,1,maize,13166.0429758944,grain,13725.5031935273,15.5,23,7,0.44252329519778,doi_10.5061_dryad.95n3j32,6,United States,Eastern Nebraska Research and Extension Center,-96.4973,41.14588,FALSE,2011-05-07,0,0,0,,disk tillage,10,2
3,102,TRUE,FALSE,Control 0_P,1,maize,13166.0429758944,grain,13725.5031935273,15.5,23,7,0.44252329519778,doi_10.5061_dryad.95n3j32,7,United States,Eastern Nebraska Research and Extension Center,-96.4973,41.14588,FALSE,2011-05-07,0,0,0,,disk tillage,15,3
3,102,TRUE,FALSE,Control 0_P,1,maize,13166.0429758944,grain,13725.5031935273,15.5,23,7,0.44252329519778,doi_10.5061_dryad.95n3j32,8,United States,Eastern Nebraska Research and Extension Center,-96.4973,41.14588,FALSE,2011-05-07,0,0,0,,disk tillage,20,3
3,103,TRUE,FALSE,Bray_3Replace_PP,1,maize,20234.8187113237,grain,14608.4525513825,15.5,28,10,0.401046351318165,doi_10.5061_dryad.95n3j32,9,United States,Eastern Nebraska Research and Extension Center,-96.4973,41.14588,FALSE,2011-05-07,0,206.5,0,,disk tillage,5,4
3,103,TRUE,FALSE,Bray_3Replace_PP,1,maize,20234.8187113237,grain,14608.4525513825,15.5,28,10,0.401046351318165,doi_10.5061_dryad.95n3j32,10,United States,Eastern Nebraska Research and Extension Center,-96.4973,41.14588,FALSE,2011-05-07,0,206.5,0,,disk tillage,10,3
